title,url,content,last_modified,category
Discours de Mme Catherine Colonna sur l’Indopacifique à bord de la frégate de surveillance Prairial (15 avril 2023),https://kr.ambafrance.org/Discours-de-Mme-Catherine-Colonna-sur-l-Indopacifique-a-bord-de-la-fregate-de,"Seul le prononcé fait foi Commandant, Je vous remercie de votre accueil à bord de la frégate Prairial. Cette escale en République de Corée fait suite à un long périple, depuis la Polynésie française où vous êtes basé, périple qui n’a pas été de tout repos pour vous et votre équipage. Je salue votre engagement à toutes et à tous au service de notre pays. La présence de notre Marine si loin de la métropole, mais dans une région stratégique pour nos intérêts de sécurité, n’a rien d’exceptionnel. Ces eaux, la Marine nationale les connait, la France les connait. Aussi, notre rencontre ce jour à bord du Prairial ne doit rien au hasard. Elle me donne l’occasion de partager avec vous quelques messages. Mon premier message, c’est celui de la solidarité de la France avec la Corée. Alors que nous approchons du 70ème anniversaire de la fin de la guerre de Corée, je veux dire à nos amis coréens qu’ils peuvent compter sur l’engagement de la France à leurs côtés, aujourd’hui et demain tout autant que par le passé. Nos deux pays sont unis par l’Histoire. Ils partagent une même vision du monde, fondée sur un même attachement à la démocratie, aux droits de l’Homme, à leur indépendance sans aucun doute, mais aussi à l’indépendance de tous les pays dans le cadre du système multilatéral des Nations Unies. Face à la fuite en avant de la Corée du Nord, face au développement illégal de ses programmes nucléaire et balistique, nous nous tenons aux côtés de la Corée du Sud.
Nous ne transigerons pas sur l’impératif d’une dénucléarisation complète, vérifiable et irréversible de la Corée du Nord. Et nous continuerons de mobiliser nos moyens diplomatiques et militaires, comme la frégate Prairial, pour faire respecter les résolutions du Conseil de sécurité, qui s’imposent à tous. Cette menace venue du Nord s’inscrit dans un contexte de montée des tensions et de profonde remise en cause de l’ordre international fondé sur le droit. C’est particulièrement vrai dans l’Indopacifique. Mon deuxième message concerne cette partie du monde. Je n’ai pas besoin de rappeler ici l’importance de cet espace pour la France, qui est le seul État européen à y avoir des territoires, dans l’océan Indien comme dans l’océan Pacifique, avec la deuxième zone économique exclusive du monde par sa superficie, et des moyens de souveraineté permanents appelés à se renforcer significativement dans les années à venir, aux termes du projet de loi de programmation militaire. La guerre d’agression russe en Ukraine ne nous détourne en rien de l’Indopacifique. Et il importe que les pays de l’Indopacifique ne se détournent pas non plus de la guerre en Ukraine, en considérant qu’il s’agirait d’une crise exclusivement européenne. Tout est lié. Il s’agit dans un cas comme dans l’autre de veiller au respect des principes les plus fondamentaux de la charte des Nations Unies, de notre charte commune : la souveraineté et l’intégrité territoriale des États. Laisser aujourd’hui la Russie bafouer impunément ces principes en Europe, c’est créer un précédent. Comme le Président de la République l’a rappelé à la tribune de l’Assemblée générale des Nations Unies, si une agression est récompensée, une autre se produira ailleurs et personne ne sera en sécurité. C’est bien l’ordre international fondé sur le droit qui est en jeu. Sa préservation est au cœur de la stratégie Indopacifique adoptée par la France en 2018, avec la protection des biens publics mondiaux, au premier rang desquels le climat et l’environnement. Le parcours de la frégate Prairial et ses missions en sont une parfaite illustration. Elle a d’abord mené une mission de lutte contre la pêche illégale, au profit du Forum des îles du Pacifique. Elle s’est exercée avec les garde-côtes philippins et la Marine de notre partenaire stratégique vietnamien. Elle a effectué ensuite une formation, au profit de la Marine cambodgienne, avant de rejoindre la Corée du Sud par le détroit de Taiwan, par lequel elle a transité il y a quelques jours, comme d’autres bâtiments français le font en mer de Chine méridionale, conformément au droit de la mer. Pour la France, la préservation d’un espace indopacifique libre et ouvert, prospère et respectueux des biens communs, passe à la fois par le respect du droit et par la recherche de coopérations aussi inclusives que possibles, avec tous. La France est profondément attachée à son autonomie stratégique, qu’elle met au service de celle des autres, dans une logique de partenariat entre puissances responsables, attachées à la stabilité et au droit. Notre objectif, selon la formule du Président de la République, est que tous les États puissent disposer de la liberté de leur souveraineté. C’est le cœur de notre partenariat stratégique avec l’Inde, qui fête cette année ses 25 ans. C’est aussi le sens du partenariat stratégique que nous sommes en train de construire, brique après brique, avec l’Indonésie. C’est encore le sens des coopérations que nous recherchons avec le Japon, dans le cadre de notre partenariat d’exception. Et c’est ce que nous aspirons à faire avec la République de Corée, dont je salue l’ambition pour l’Indopacifique, dans laquelle nous nous retrouvons pleinement. Nous sommes profondément attachés à la préservation de la paix et de la stabilité dans la région. C’est le cas face aux tensions maritimes dans la zone, c’est le cas aux frontières de notre partenaire stratégique indien, et c’est le cas aussi s’agissant de Taiwan. A ce sujet, la France s’en tient à sa politique, rappelée par le Président de la République, celle du maintien du statu quo. Nous sommes opposés à toute modification unilatérale du statu quo, ainsi qu’à tout recours à la force dans le détroit. Cette approche, c’est celle de l’ensemble de nos alliés européens, comme des Etats-Unis. Puisque je mentionne l’Europe, c’est l’occasion de rappeler ici, dans cette région du monde, comme nous l’avons fait la semaine dernière en Chine, que la France a l’ambition de jouer un rôle moteur au service d’une Europe puissance qui porte un modèle et une vision qui lui sont propres. C’est particulièrement vrai dans l’Indopacifique. Dans cet espace, la France a œuvré à ce que l’Union européenne se dote d’une stratégie ambitieuse qui consiste à renforcer les capacités de ses partenaires, à développer des relations commerciales équitables, à soutenir des projets répondant aux standards les plus élevés et qui ne créent pas de liens de dépendance, à promouvoir, enfin, les valeurs universelles, car il y a bien des valeurs universelles. Notre conviction, c’est que l’Union européenne apporte sa propre valeur ajoutée dans l’Indopacifique, à travers une approche multidimensionnelle, qui dépasse les seules considérations sécuritaires. Cette approche globale est la seule à même de renforcer la résilience de la région face aux défis sécuritaires, mais aussi environnementaux, économiques et sociaux auxquels nous faisons face. C’est tout l’objectif de l’initiative européenne Global Gateway, qui doit permettre d’accélérer les transitions écologique, énergétique et numérique des pays partenaires, tout en améliorant la connectivité avec l’Europe. Dans ce cadre, la France, comme je le crois l’Union européenne, a clairement à cœur de maintenir une approche équilibrée à l’égard de la Chine. C’est-à-dire : ne pas être naïf sur les dimensions de rivalité systémique et de compétition, et donc défendre rigoureusement ses intérêts stratégiques, mais avec l’objectif de parvenir à une relation constructive et coopérative, là où cela est possible. C’est le triptyque européen sur la Chine. Il demeure pertinent même alors que celle-ci s’affirme de plus en plus. Car comment imaginer résoudre les grands défis du monde sans la Chine ? On ne le pourra pas sans elle, sur le climat ou la santé par exemple, mais plus globalement. Comment avancer sans chercher à bâtir avec elle un agenda positif, sans chercher des convergences, y compris – et même peut-être surtout – sur les sujets où nous nous pourrions diverger ? Nous voulons avec elle un dialogue exigeant, franc, direct mais ouvert. Cette stratégie européenne en Indopacifique, qui rejette toute logique de confrontation de blocs, a de fortes convergences avec l’approche de la République de Corée et avec l’ASEAN Outlook on the Indopacific, qui porte également une approche inclusive et coopérative. A la suite de notre accession au statut de partenaire de développement de l’ASEAN et d’observateur de l’ADMM+ en 2022, nous sommes déterminés à coopérer davantage avec cette organisation centrale dans l’Indopacifique. Notre stratégie est aussi pleinement en phase avec la Stratégie 2050 du Forum des îles du Pacifique, auquel appartiennent les territoires français de Nouvelle-Calédonie et de Polynésie. Nous avons multiplié cette année par deux et demi nos moyens d’intervention dans le Pacifique Sud cette année, précisément pour répondre aux priorités du Forum en matière de lutte contre le changement climatique et de protection de l’environnement. Et ce n’est qu’un début. Avec notre partenaire australien notamment, nous travaillons à une nouvelle feuille de route bilatérale dont la dimension Pacifique sera centrale. Je me réjouis que la République de Corée fasse également de sa coopération avec l’ASEAN et avec le Forum des îles du Pacifique une priorité, dans le cadre de sa stratégie « pour une région indopacifique libre, pacifique et prospère ». Je suis frappée par les fortes convergences entre nos approches, que j’ai constatées lors de mes entretiens hier avec les autorités coréennes. Un des objectifs de ma visite est précisément de définir avec les autorités coréennes comment, en nous appuyant sur ces convergences, nous pouvons coordonner nos efforts, et même mener des projets conjoints. Vous le voyez, malgré le retour de la guerre en Europe, la France est plus que jamais consciente que son avenir et celui de l’Union européenne se jouent largement dans l’espace Indopacifique. Et la France est plus déterminée que jamais à y faire entendre une voix singulière, pour chercher à apaiser les tensions régionales, à préserver la stabilité, à promouvoir les valeurs universelles et à coopérer pour faire face aux grands défis mondiaux. Vive la France, vive la République de Corée, vive l’amitié franco-coréenne. Version anglaise :https://www.diplomatie.gouv.fr/en/country-files/south-korea/news/article/indopacific-speech-by-the-minister-for-europe-and-foreign-affairs-ms-catherine",17/04/2023,Actualité de l’ambassade
Corée du Sud - Communiqué de presse conjoint sur le 4e session du dialogue stratégique des ministres des Affaires étrangères de la République de Corée et de la France (14 avril 2023),https://kr.ambafrance.org/Coree-du-Sud-Communique-de-presse-conjoint-sur-le-4e-session-du-dialogue,"South Korea - Joint Press Release on the 4th ROK-France Foreign Ministerial Strategic Dialogue (14 April 2023) Foreign Minister Park Jin and Foreign Minister Catherine Colonna held the 4th ROK-France Foreign Ministerial Strategic Dialogue in Seoul on April 14th. The Ministers had in-depth discussions on the overall bilateral relationship, the potential for cooperation in the Indo-Pacific region, and a range of regional and global issues. The Ministers reaffirmed their will to further strengthen the Korea-France Comprehensive Partnership for the 21st Century between the two Governments through active high-level exchanges and concrete projects for cooperation, particularly in the fields of civil nuclear energy, space, renewable energy, digital technology, aeronautics and low-carbon mobility. They also welcomed the signing of the Protocol Amending the Agreement on the mobility of business people and trainees, which will be a valuable basis for further promoting economic and people-to-people exchanges between the two countries. The Ministers noted that this year marks the 70th anniversary of the armistice of the Korean War, in which Korean and French Forces fought for freedom and peace on the Korean Peninsula. They expressed their satisfaction that close cooperation has been taking place in the field of defense and security including the Defense Strategy Dialogue. The Ministers agreed, amidst the increasing importance of economic security, to strengthen cooperation in enhancing supply chain resilience and enhancing technological competitiveness. They also shared the view that shared efforts between the public and private sectors should continue to be enhanced in future strategic industries such as nuclear power, space, and information technology. The Ministers recognized that their respective Indo-Pacific strategies share the values of freedom, democracy, rule of law and human rights, and that there are many areas with great potential for collaboration such as climate change response, support for Pacific Island Countries, and maritime security. Minister Colonna welcomed the “Strategy for a Free, Peaceful and Prosperous Indo-Pacific Region” adopted by the ROK. Minister Park recognized the commitment of France, a fully fledged Indo-Pacific country, to the preservation of a free and open Indo-Pacific region, where international rules are respected. They agreed on the importance of closer cooperation in the implementation of their respective Indo-Pacific strategies and asked their administrations to work together toward this end. The Ministers condemned the DPRK’s unlawful ballistic missile launches, including yesterday’s launch of what DPRK claimed to be a new type of solid fuel ICBM, as well as threatening rhetoric regarding nuclear weapons use and emphasized the need for the international community’s firm and united response to the DPRK’s provocations. They stated, once again, that the DPRK cannot and will never have the status of a nuclear-weapon State in accordance with the Treaty on the Non-Proliferation of Nuclear Weapons. They reiterated their shared objective that the DPRK abandon all nuclear weapons, ballistic missiles, and related programmes in a complete, verifiable and irreversible manner. They reaffirmed the importance of blocking the DPRK’s illicit revenue streams by clamping down, among others, on its illegal cyber activities and ensuring the full implementation of the UNSCRs by all UN member States, including the repatriation of DPRK overseas workers. They also, noting that this year marks the 10th anniversary of the establishment of the Commission of Inquiry (COI) on Human Rights in the DPRK, underscored the importance of raising awareness on DPRK human rights issues. Minister Colonna reaffirmed France’s solidarity with the Republic of Korea and France’s continued support for the ROK government’s Audacious Initiative and its efforts for denuclearization of the DPRK. The Ministers emphasized that Ukraine’s sovereignty, territorial integrity and independence should be respected. Stressing the importance of united efforts by the international community to support Ukraine, they agreed to continue to work together closely on this issue, including humanitarian assistance and the process of rebuilding and rehabilitating Ukraine. The Ministers exchanged views on global issues including climate change, environment, development cooperation and health, and agreed to further deepen the shared efforts going forward. In particular, they confirmed their commitment to working closely in the field of development cooperation projects in the Indo-Pacific region.",17/04/2023,Actualité de l’ambassade
Nouvelle Ambassade de France en Corée,https://kr.ambafrance.org/Nouvelle-Ambassade-de-France-en-Coree,"Bienvenue à la Nouvelle Ambassade de France en Corée ! Les équipes de l’Ambassade, de la section consulaire, des services culturels, économiques et énergie, de Business France et de Campus France vous accueillent désormais au 43-12 Seosomun-ro, Seodaemun-gu, Seoul (03741) 서울특별시 서대문구 서소문로 43-12 ",10/04/2023,Actualité de l’ambassade
Rapport annuel 2022 de l’OTAN,https://kr.ambafrance.org/Rapport-annuel-2022-de-l-OTAN,"Le 21 mars 2023, le secrétaire général de l’OTAN, Jens Stoltenberg, a publié son rapport annuel pour 2022. Ce rapport détaille les travaux et les réalisations de l’OTAN tout au long de l’année, y compris le soutien sans précédent de l’Alliance à l’Ukraine à la suite de l’invasion à grande échelle du pays par la Russie, le renforcement continu de la posture de dissuasion et de défense de l’Alliance à la lumière de la plus grande crise de sécurité en Europe depuis la Seconde Guerre mondiale guerre, et l’adoption lors du Sommet de Madrid d’un nouveau concept stratégique. Le rapport contient les résultats des sondages annuels de perception de l’opinion publique de l’OTAN, avec pour la première fois des sondages menés en Finlande et en Suède. Un aperçu du rapport est disponible sur le lien suivant : https://www.nato.int/cps/en/natohq/opinions_212795.htm Le rapport complet est disponible sur : https://www.nato.int/nato_static_fl2014/assets/pdf/2023/3/pdf/sgar22-en.pdf",27/03/2023,Actualité de l’ambassade
Déménagement de l’Ambassade de France,https://kr.ambafrance.org/Demenagement-de-l-Ambassade-de-France,"En raison du déménagement à venir de nos locaux de la Tour Woori vers la Nouvelle Ambassade sur le site de Hapdong, les services consulaires seront fermés du jeudi 30 mars au mercredi 5 avril 2023 inclus. Les services consulaires vous accueilleront à la Tour Woori jusqu’au mercredi 29 mars. A compter du jeudi 6 avril, la section consulaire accueillera le public dans ses nouveaux locaux au 43-12 Seosomun-ro, Seodaemun-gu, Seoul (03741) 서울특별시 서대문구 서소문로 43-12 ",10/04/2023,Actualité de l’ambassade
VivaTech 2023,https://kr.ambafrance.org/VivaTech-2023,"L’Ambassade de France en Corée se réjouit de voir la République de Corée, et son écosystème technologique dynamique de 39 milliards de dollars, être choisie comme Pays de l’Année VivaTech 2023, le plus grand événement start-up et tech d’Europe ! Le compte à rebours est lancé ! Dans moins de 3 mois, du 14 au 17 juin, VivaTech ouvrira ses portes à Paris avec 4 thématiques : intelligence artificielle, technologie pour le climat et énergie, inclusion et diversité dans le monde professionnel, et technologie pour le sport. Environ 30 start-ups et PME coréens participeront à VivaTech 2023 et pourront profiter d’opportunités de promotion commerciale, de participation à des programmes, de réunions d’investisseurs, et de réseautage. La ministre des PME et des Start-Up, Lee Young, a prononcé un discours de félicitations.",23/03/2023,Actualité de l’ambassade
Un Centre Pompidou à Seoul grâce au groupe Hanwha,https://kr.ambafrance.org/Un-Centre-Pompidou-a-Seoul-grace-au-groupe-Hanwha,"□ Signature d’un protocole d’accord avec la Fondation Culturelle Hanwha au Centre Pompidou en France le 19 mars.
□ Ouverture d’un musée d’art dans la Tower 63 en 2025
□ Le Centre Pompidou doit permettre à Seoul de jouer pleinement son rôle de place de référence en matière d’art vivant.
□ Contribuer au développement durable de l’écosystème de l’art en soutenant de nouveaux artistes internationaux Le groupe Hanwha (président Kim Seung-yeon) installe à Seoul le Centre Pompidou, un musée d’art contemporain d’une renommée mondiale situé à Paris, en France. Hanwha et le Centre Pompidou ont organisé conjointement une cérémonie de signature du protocole d’accord au Centre Pompidou à Paris le 19 mars, en présence de Shin Hyun-woo, président de la Fondation culturelle Hanwha, Laurent Lebon, président du Centre Pompidou français, et Dr Seo Sounjou, initiateur et acteur principal du projet . Selon ce partenariat, Hanwha prévoit d’ouvrir en 2025, un musée d’art dans la Tower 63 qui lui appartient, et se verra garantir le droit d’utiliser l’appellation Centre Pompidou Seoul Hanwha (titre provisoire) pendant quatre ans à compter de la date d’ouverture. Hanwha avait déjà, engagé, dès 2017 les discussions pour accueillir le Centre Pompidou à Séoul. La pandémie Covid 19 a ralenti considérablement les négociations, lesquelles, reprises récemment aboutissent à la concrétisation du projet. Ainsi, la Fondation Hanwha recevra chaque année deux expositions temporaires, incluant des chefs-d’œuvre d’artistes d’art moderne et contemporain de la collection du Centre Pompidou. En contrepartie, Hanwha verse au Centre Pompidou chaque année une redevance pour l’utilisation de la marque, couvrir les frais de location d’œuvres et les frais de conseil et d’expertise. Les modalités contractuelles détaillées seront finalisées courant 2023. En plus des œuvres provenant du Centre Pompidou, Hanwha prévoit de son côté d’organiser des expositions d’art contemporain en concordance avec l’image du Centre Pompidou.
Hanwha souhaite inaugurer le musée au premier semestre 2025 après la signature du contrat. Jean-Michel Wilmotte, architecte français de renommée mondiale, bien connu pour avoir conçu certains aménagements du musée du Louvre et du British Museum et également d’avoir conçu l’aéroport international d’Incheon, participe à la conception du nouveau musée. La Tower 63 subira un remodelage interne et renaîtra en tant que nouveau bâtiment emblématique de la culture. Le Centre Pompidou Paris est célèbre pour ses installations pluridisciplinaires : spectacles vivants, cinémas, expositions, ateliers jeune public et abrite une bibliothèque publique, un laboratoire de recherche musicale, une librairie et des boutiques. En particulier, le Musée national d’art moderne est l’un des trois grands musées en France avec le Louvre et le Musée d’Orsay, et est considéré comme le plus grand musée national d’art moderne d’Europe. En 2022, le nombre de visiteurs a atteint près de 3 millions. Le Centre Pompidou possède une collection d’environ 220 000 œuvres d’art relevant de la période de 1906 à nos jours. Il abrite un certain nombre d’œuvres de maîtres largement connus du grand public, tels que Chagall, Matisse, Kandinsky et Picasso, ainsi que des artistes contemporains comme Pierre Soulages, Francis Bacon, Robert Rauschenberg et Andy Warhol. Actuellement, hors de France le Centre Pompidou est partenaire de lieux, modèles à chaque fois uniques, à Malaga, en Espagne, (2015) et à Shanghai, en Chine, (2019.) A l’avenir, la Fondation Culturelle Hanwha aura la charge du fonctionnement du Centre Pompidou Seoul. La Fondation Hanwha qui, jusqu’ici a été un soutien important dans le domaine de la musique classique, par cette opération novatrice, conforte son rôle culturel . Shin Hyun-woo, président de la Fondation culturelle de Hanwha , a déclaré : « Hanwha présentera régulièrement des chefs-d’œuvre mondiaux et des œuvres d’art contemporain de haute qualité en Corée grâce au partenariat avec le Centre Pompidou, en faisant découvrir au public coréen de nouveaux artistes internationaux participant ainsi au développement durable du monde de la culture et de l’art. Je suis heureux de contribuer au développement de cette nouvelle institution. Grâce à cela, nous nous efforcerons de faire connaitre le Centre Pompidou Seoul comme un nouveau repère culturel et artistique à Séoul et qu’il devienne un lieu qui offre une inspiration différenciée à la prochaine génération. » Laurent Lebon, président du Centre Pompidou, a également déclaré : « La Corée est en train de devenir rapidement le marché de l’art le plus en vogue d’Asie, et intéresse plus particulièrement la jeune génération d’artistes et de collectionneurs. Il est en croissance constante et très prometteur pour l’avenir. Nous coopérerons activement avec Hanwha pour que les valeurs de créativité et d’innovation poursuivies par le Centre Pompidou puissent contribuer au développement du monde de l’art coréen »",22/03/2023,Actualité de l’ambassade
Communiqué des ministres des Affaires étrangères du G7 - Tir d’un missile balistique de portée intercontinentale par la Corée du Nord (19 mars 2023),https://kr.ambafrance.org/Communique-des-ministres-des-Affaires-etrangeres-du-G7-Tir-d-un-missile,"Nous, ministres des Affaires étrangères de l’Allemagne, du Canada, des États-Unis, de la France, de l’Italie, du Japon et du Royaume-Uni, et Haut représentant de l’Union européenne, condamnons dans les termes les plus vifs le nouveau tir de missile balistique de portée intercontinentale effectué le 16 mars par la Corée du Nord, qui met en péril la paix et la sécurité régionales et internationales. Depuis l’année dernière, la Corée du Nord a intensifié ses actes participant à l’escalade en tirant un nombre record de missiles balistiques et en poursuivant son discours irresponsable et déstabilisateur sur l’emploi d’armes nucléaires. Plus tôt dans l’année, la Corée du Nord a déclaré publiquement son intention d’étendre et renforcer encore ses programmes nucléaires et balistiques illicites. Nous appelons de nouveau la Corée du Nord à renoncer à ses armes nucléaires et à ses programmes nucléaires existants, ainsi qu’aux autres armes de destruction massive et programmes de missiles balistiques de manière complète, vérifiable et irréversible, et à respecter pleinement l’ensemble des obligations découlant des résolutions pertinentes du Conseil de sécurité des Nations unies (CSNU). La Corée du Nord ne peut obtenir et n’obtiendra jamais le statut d’État doté d’armes nucléaires, conformément au Traité sur la non-prolifération des armes nucléaires. Nous exhortons la Corée du Nord à s’engager sur la voie d’une véritable diplomatie en faveur de la dénucléarisation et à accepter les propositions de dialogue présentées à plusieurs reprises par le Japon, les États-Unis et la République de Corée. Nous regrettons vivement le contraste saisissant entre la fréquence des violations flagrantes des résolutions du CSNU et l’inaction correspondante du CSNU à cause de l’obstruction de certains membres. Le comportement irresponsable de la Corée du Nord exige une réponse rapide et unie de la communauté internationale, notamment l’adoption de nouvelles mesures fortes par le CSNU. Nous appelons tous les États membres des Nations unies à mettre en œuvre pleinement et efficacement l’ensemble des résolutions du CSNU, et les membres du CSNU à tenir leurs propres engagements. Le G7 demeure préoccupé par la situation humanitaire catastrophique en Corée du Nord et est déterminé à travailler avec tous les partenaires concernés pour concrétiser l’objectif de paix et de stabilité dans la péninsule de Corée et à défendre l’ordre international fondé sur des règles de droit.",20/03/2023,Actualité de l’ambassade
Biodiversité marine : la France se félicite de la conclusion d’un traité ambitieux pour la protection de la haute mer (05 mars 2023),https://kr.ambafrance.org/Biodiversite-marine-la-France-se-felicite-de-la-conclusion-d-un-traite,"La France salue l’accord historique obtenu aujourd’hui sur le traité sur la conservation et l’utilisation durable de la biodiversité marine des zones ne relevant pas de la juridiction nationale, c’est-à-dire en haute mer (processus dit « BBNJ »), lors de la 5e session de négociations intergouvernementale qui s’est tenue au siège des Nations Unies à New York du 20 février au 4 mars. Les océans sont l’un des principaux réservoirs de la biodiversité dans le monde, ce sont des puits de carbone essentiels à la régulation du climat et donc indispensables dans notre lutte contre le dérèglement climatique. Ils constituent plus de 90 % de l’espace habitable sur la planète et abritent quelques 250 000 espèces connues ainsi que de nombreuses espèces encore inconnues. Un traité historique pour la protection de la biodiversité marine en haute mer Quelques mois après l’adoption d’un accord lors de la COP15 Biodiversité visant à protéger 30 % des terres et des mers d’ici à 2030, l’adoption d’un traité sur la conservation et l’utilisation durable de la biodiversité marine en haute-mer est une étape clé pour protéger l’océan et sa biodiversité et permettre un juste partage de ses ressources. Ce traité a vocation à élaborer un instrument international juridiquement contraignant afin de renforcer la gouvernance de la haute mer et d’établir les outils nécessaires à une protection effective de l’océan et à une utilisation durable de ses ressources. Il ouvre la voie à des avancées essentielles et inédites :
● la création d’aires marines protégées en haute mer ;
● des obligations pour les Etats d’évaluer l’impact environnemental des nouvelles activités qu’ils projettent en haute mer ;
● un partage juste et équitable des bénéfices de découvertes faites dans les océans, et qui pourraient être déterminantes pour les sciences, les technologies ou la médecine ;
● le renforcement des capacités des Etats en développement en matière de recherche scientifique et d’aptitude à assurer une bonne gouvernance des aires marines ; Une mobilisation française déterminante pour faire aboutir les négociations La France a joué un rôle actif avec l’Union Européenne (UE) tout au long de ce processus de négociations commencé il y a plus de quinze ans, afin de tenir le niveau d’ambition nécessaire. Elle s’est attachée à soutenir un processus multilatéral de négociations ayant permis d’aboutir à un accord mondial, juste et applicable. En tant qu’Etat membre de l’Union européenne, sa participation constructive a permis de trouver un compromis final ambitieux et inclusif. L’engagement du Président de la République, Emmanuel Macron, pour la protection des océans et de la biodiversité marine, en particulier lors du One Ocean Summit de Brest et lors de la conférence de Lisbonne pour les océans en 2022, a été moteur pour accélérer le combat à l’échelle internationale, avec la création à l’initiative de la France, de la Coalition de Haute Ambition pour les océans (« High Seas Alliance »). Cette Coalition qui regroupe désormais 51 membres, s’inscrit également dans la continuité des annonces faites par la France lors de la COP 27 en Egypte, en faveur de l’interdiction totale de l’exploitation minière des grands fonds marins. Dans la continuité de son engagement, la France accueillera donc en 2025 la prochaine conférence des Nations unies sur les océans à Nice. Dans la perspective de cette conférence, la ministre de l’Europe et des Affaires Etrangères, Catherine Colonna, avait au cours de ces derniers mois mobilisé le réseau diplomatique français et avait porté le sujet auprès du Secrétaire Général des Nations unies Antonio Guterres lors de la dernière Assemblée générale des Nations unies. Elle présidera prochainement un Comité de pilotage dédié avec les ministres concernés. Cet évènement, que la France co-présidera avec le Costa Rica, constitue une ligne de mire pour soutenir le mouvement initié à New York, et nécessaire à la protection de la biodiversité marine ; la conclusion des négociations ce jour doivent marquer le début d’une dynamique nouvelle pour la coopération et le multilatéralisme permettant la préservation et la protection des océans. La France continuera à prendre toute sa part en vue d’atteindre cet objectif. Le secrétaire d’Etat chargé de la Mer, Hervé Berville, qui s’est rendu par deux fois au siège des Nations unies lors des dernières sessions de négociations, y avait également lancé le mardi 21 février dernier un appel solennel à la communauté internationale à conclure ce traité majeur, aux côtés de l’actrice et activiste Jane Fonda, de l’UICN (Union Internationale pour la Conservation de la Nature) et des ONG de la High Seas Alliance. Plus d’informations sur la conférence BBNJ Plus d’informations sur la High Seas Alliance",06/03/2023,Actualité de l’ambassade
Soirée Taekwondo,https://kr.ambafrance.org/Soiree-Taekwondo,"A l’occasion de la venue de l’équipe de France olympique de taekwondo en Corée, L’ambassadeur de France, Philippe Lefort a offert une réception, en présence du Président du kukkiwon, Monsieur Lee Dong-sup.  Encadrée par le maitre coréen Woomin Jung et le Directeur Technique National Patrick Rosso, l’équipe de France olympique de taekwondo est en stage de préparation, en Corée, pour deux semaines.  Allez les bleus !",27/02/2023,Actualité de l’ambassade
